model,seq_len,status,seconds
gpt2,64,ok,0.31829142570495605
gpt2,128,ok,0.03837180137634277
gpt2,256,ok,0.1321854591369629
gpt2,512,ok,0.20913338661193848
gpt2,768,ok,0.3207437992095947
gpt2,1024,ok,0.5779891014099121
