model,seq_len,input_type,sink_first_1,sink_first_4,sink_first_8
gpt2,128,natural,0.3741827851627022,0.38180922344326973,0.39632813601444167
gpt2,128,random,0.46327618951909244,0.4702960335028668,0.47767420082042616
gpt2,128,repeated,0.43802066644032794,0.44866884034126997,0.46042174597581226
gpt2,256,natural,0.345661500604668,0.34931345807854086,0.3560937670214723
gpt2,256,random,0.4324681813983868,0.43604823279504973,0.44135253884208697
gpt2,256,repeated,0.40311343284944695,0.40774239172848564,0.412795653178667
gpt2,512,natural,0.34419221221954405,0.3465264887199737,0.35083643055986613
gpt2,512,random,0.4158704207705644,0.4166289005273332,0.4174427808029577
gpt2,512,repeated,0.384982036431514,0.38676505303010345,0.3887243156010906
