seq_len,mask_name,mask_group,mask_size,tail_loss,tail_ppl,ppl_ratio,loss_delta,last_token_kl,top1_changed,top5_overlap
256,baseline,baseline,0,0.0490802526473999,1.0503046370855842,1.0,0.0,0.0,0,1.0
256,first_1,sink,1,0.043004777282476425,1.0439428820487366,0.9939429430165134,-0.006075475364923477,0.005331681575626135,0,0.4
256,first_4,sink,4,0.05670585110783577,1.0583444537565392,1.0076547473819255,0.007625598460435867,0.005804079584777355,0,0.4
256,first_8,sink,8,0.14222300052642822,1.1528337023968853,1.0976184067851036,0.09314274787902832,0.0035101785324513912,0,0.4
256,middle_4,middle,4,0.04555746167898178,1.0466111429196214,0.9964834067797591,-0.0035227909684181213,8.215266461775173e-06,0,1.0
256,middle_8,middle,8,0.05911530554294586,1.0608975610572058,1.0100855728877054,0.01003505289554596,7.756601553410292e-05,0,0.8
256,recent_4,recent,4,0.09565449506044388,1.1003788119933626,1.0476758581650423,0.046574242413043976,2.3115855583455414e-05,0,1.0
256,recent_8,recent,8,0.3490391969680786,1.4177047589811007,1.3498033893432948,0.2999589443206787,0.00034300051629543304,0,0.8
256,random_4_trial0,random_4,4,0.06633075326681137,1.0685800950796194,1.0174001497743992,0.01725050061941147,6.636192210862646e-06,0,1.0
256,random_4_trial1,random_4,4,0.05323575437068939,1.0546782608217449,1.0041641477926793,0.00415550172328949,2.6252913812641054e-05,0,1.0
256,random_4_trial2,random_4,4,0.18633468449115753,1.2048254292924112,1.1471199752441308,0.13725443184375763,1.1211463061044924e-05,0,1.0
256,random_8_trial0,random_8,8,0.03455406427383423,1.0351579919284235,0.985578807688415,-0.014526188373565674,4.440851625986397e-06,0,1.0
256,random_8_trial1,random_8,8,0.10353470593690872,1.109084284506333,1.0559643796145204,0.05445445328950882,0.0006299449014477432,0,0.6
256,random_8_trial2,random_8,8,0.18294881284236908,1.2007529433775541,1.143242542191795,0.13386856019496918,4.887921750196256e-05,0,0.8
512,baseline,baseline,0,0.02714364603161812,1.0275153906713235,1.0,0.0,0.0,0,1.0
